0, 15
0,54855153672489, 15,8647595665233
1,09710307344978, 16,6819779262496
1,64565461017467, 17,4516550791792
2,19420614689956, 18,1737910253118
2,74275768362445, 18,8483857646476
3,29130922034934, 19,4754392971865
3,83986075707423, 20,0549516229286
4,38841229379912, 20,5869227418737
4,93696383052401, 21,0713526540221
5,4855153672489, 21,5082413593735
6,03406690397379, 21,8975888579281
6,58261844069868, 22,2393951496858
7,13116997742357, 22,5336602346466
7,67972151414846, 22,7803841128106
8,22827305087335, 22,9795667841777
8,77682458759824, 23,131208248748
9,32537612432313, 23,2353085065213
9,87392766104802, 23,2918675574978
10,4224791977729, 23,3008854016775
10,9710307344978, 23,2623620390602
11,5195822712227, 23,1762974696461
12,0681338079476, 23,0426916934352
12,6166853446725, 22,8615447104274
13,1652368813974, 22,6328565206227
13,7137884181222, 22,3566271240211
14,2623399548471, 22,0328565206227
14,810891491572, 21,6615447104273
15,3594430282969, 21,2426916934352
15,9079945650218, 20,7762974696461
16,4565461017467, 20,2623620390602
17,0050976384716, 19,7008854016775
17,5536491751965, 19,0918675574978
18,1022007119214, 18,4353085065213
18,6507522486463, 17,731208248748
19,1993037853712, 16,9795667841777
19,747855322096, 16,1803841128106
20,2964068588209, 15,3336602346466
20,8449583955458, 14,4393951496858
21,3935099322707, 13,4975888579281
21,9420614689956, 12,5082413593735
22,4906130057205, 11,471352654022
23,0391645424454, 10,3869227418737
23,5877160791703, 9,25495162292856
24,1362676158952, 8,07543929718651
24,68481915262, 6,84838576464759
25,2333706893449, 5,57379102531181
25,7819222260698, 4,25165507917916
26,3304737627947, 2,88197792624964
26,8790252995196, 1,46475956652326
27,4275768362445, 0
